image_hash,label,score,reason,classifier_version,threshold,fast_mode,turbo_mode,flag_uncertain
ac506f3b00451b17da4ae53eac81fda1687d3252,normal,0.817207,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
ad575f55937fde6dd2ea31b2b98f38b1b48e56a0,normal,0.487088,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
9d0ab3b049c621a6919bdfda351c53ecbac2ce3f,normal,0.369009,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
52fd17f9fe44f39b7bc756da6f80cfa651d44a3d,normal,0.358682,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
131cb8d8127e0d0fceb5c35697386618bea5e8d9,normal,0.564491,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
d8f848d5070a977e5670f09d6a2ef57c73bf0ec0,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
f3f3d7cd9ae1868546cc6a0c63de0a892cfdee9a,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
20511762070ac00e709539d7cd040f87af2199fb,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
5f0dd988e9183f6bee30838612d2c26caa901e95,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
4a14a4b63d7d926214c5b695361bbdd9c0abd531,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
d883a591000339468fadc6f5e8790e070dca2480,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
f2f2fdbe7819646070219d348f9dfd044dbc7792,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
82b04b26e741ca0efa1c9102646aadd2685dada0,normal,0.300161,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
180fbe36c055fdd201f37d80787d280a4aff0578,normal,0.536432,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
d761e1ce092fb5d904edbd4652d632ff2d47c58f,normal,0.293040,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
