page_url,image_url,label,score,reason
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/aefflbannertmp/foto1.jpg?6a057aea,normal,0.3416,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/aefflbannertmp/foto2.jpg?6a057aea,normal,0.7228,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/templates/jl_one/custom/images/aeffl/logomini181-novo2.png,normal,0.4729,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/aefflbannertmp/foto3.jpg?6a057aea,normal,0.2952,tatr_structure_verified_low_detector_score_table_guarded_threshold
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/aefflbannertmp/foto5.jpg?6a057aea,normal,0.4413,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/unnamed%202.jpg,normal,0.3076,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2016/exames2016.PNG,normal,0.0000,tatr_image_too_small
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/aefflbannertmp/foto4.jpg?6a057aea,normal,0.2396,tatr_structure_verified_low_detector_score_table_guarded_threshold
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/1000086257.jpg,normal,0.0692,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2025/educacao%20para%20a%20cidadania%20.jpg#joomlaImage://local-images/webmaster/2025/educacao%20para%20a%20cidadania%20.jpg?width=326&height=364,normal,0.5197,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/teresacosta/Camoes.jpg,normal,0.3073,tatr_structure_verified_low_detector_score_table_guarded_threshold
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2025/coremagia2025.jpg#joomlaImage://local-images/webmaster/2025/coremagia2025.jpg?width=402&height=536,normal,0.1499,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2025/assembleiageral.png#joomlaImage://local-images/webmaster/2025/assembleiageral.png?width=637&height=885,normal,0.7464,tatr_structure_verified_low_detector_score_table_guarded_threshold
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/Cartaz%2010A.jpg#joomlaImage://local-images/Cartaz%2010A.jpg?width=1080&height=1350,normal,0.3114,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2025/AEFFL%20-%20Natal%202025%20-%20mini.png#joomlaImage://local-images/webmaster/2025/AEFFL%20-%20Natal%202025%20-%20mini.png?width=900&height=600,normal,0.2399,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/transferir.jpg#joomlaImage://local-images/transferir.jpg?width=428&height=118,normal,0.0000,tatr_image_too_small
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/1000035676.jpg#joomlaImage://local-images/1000035676.jpg?width=1600&height=900,normal,0.2568,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/Screenshot_2025-11-30-09-25-51-82_a23b203fd3aafc6dcb84e438dda678b6.jpg#joomlaImage://local-images/Screenshot_2025-11-30-09-25-51-82_a23b203fd3aafc6dcb84e438dda678b6.jpg?width=1080&height=888,normal,0.2013,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/1757263997380.jpg#joomlaImage://local-images/1757263997380.jpg?width=4000&height=1844,normal,0.3644,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/Guerreiro%20do%20lixo.jpg#joomlaImage://local-images/Guerreiro%20do%20lixo.jpg?width=4000&height=3000,normal,0.9267,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/SUBMARCAS-ELECTRAO-12.png#joomlaImage://local-images/SUBMARCAS-ELECTRAO-12.png?width=2156&height=1525,normal,0.7512,tatr_structure_verified_low_detector_score_table_guarded_threshold
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/2014/concursodocentes.PNG,normal,0.8298,tatr_detected_table_no_box_no_validation
https://www.aeffl.pt/home/index.php,https://www.aeffl.pt/home/images/webmaster/547201181_1896840548421630_5822232050150722594_n%201.jpg#joomlaImage://local-images/webmaster/547201181_1896840548421630_5822232050150722594_n%201.jpg?width=1440&height=1440,normal,0.2790,tatr_detected_table_no_box_no_validation
